date,temp_105,temp_210,temp_230,temp_235,temp_250,temp_300,temp_330
2021-08-02T01:00:00Z,14.3,13.2,13.5,12.7,15.5,14.6,14.8
2021-08-02T02:00:00Z,13.9,13.2,12.5,12.2,15.1,14,14.3
2021-08-02T03:00:00Z,13.8,12.9,12.4,13.4,15.2,13.7,14.5
2021-08-02T04:00:00Z,13.9,13.5,13.1,13.4,15.4,12.9,14.4
2021-08-02T05:00:00Z,14.4,13.9,13.9,14.4,15.4,13.4,14.4
2021-08-02T06:00:00Z,14.9,15,16.1,15.6,16.9,14.1,15.1
2021-08-02T07:00:00Z,16.5,15.5,17,16.9,17.4,15.5,16.6
2021-08-02T08:00:00Z,17.2,17,18.3,18.1,18.5,17.2,17.1
2021-08-02T09:00:00Z,15.9,18.9,19.7,19.1,19.3,18.1,18.5
2021-08-02T10:00:00Z,16.1,18.6,19.3,19.5,20.3,19.8,19.3
2021-08-02T11:00:00Z,17.7,17.7,20.8,19.8,20.3,20,19.9
2021-08-02T12:00:00Z,18.8,19.5,22.2,20.3,21.3,21.2,20.7
2021-08-02T13:00:00Z,18.8,19,21.3,19.3,21.6,20.3,21.5
2021-08-02T14:00:00Z,18.5,20,20,19,22.7,20.6,21.9
2021-08-02T15:00:00Z,18.5,18.4,21.2,19.2,22,20.5,21.5
2021-08-02T16:00:00Z,17.1,19.5,20.5,17.8,21.5,20,21.3
2021-08-02T17:00:00Z,18.6,19.2,19.8,17.9,20.4,19.3,20.5
2021-08-02T18:00:00Z,18.4,17.9,19.4,17,20,19,19.7
2021-08-02T19:00:00Z,17.2,17.3,17.7,16.3,18.6,18.3,18.6
2021-08-02T20:00:00Z,16.3,16.4,16,15.7,17.5,17,17.5
2021-08-02T21:00:00Z,15.8,15.6,15.7,15,17,16.4,16.8
2021-08-02T22:00:00Z,15.8,14.7,13.9,14,17,15.4,15.6
2021-08-02T23:00:00Z,15.4,13.3,12.8,13.8,16.5,14.5,14
2021-08-03T00:00:00Z,15.1,12.4,12,13.2,15.8,13.4,13.2
2021-08-03T01:00:00Z,14.6,12.1,11.5,12,14.4,13.4,12.4
2021-08-03T02:00:00Z,14.3,11.8,11.2,13.1,12.7,12.5,12.4
2021-08-03T03:00:00Z,13.1,11.4,10.8,12.5,12,11.6,12
2021-08-03T04:00:00Z,13.1,11.4,11.2,12.8,12.7,10.9,11.7
2021-08-03T05:00:00Z,12.9,13,12.5,13.9,14.3,12,13.7
2021-08-03T06:00:00Z,13.6,14.6,15.2,15.5,15.5,14.4,15.8
2021-08-03T07:00:00Z,14.6,16.6,17.6,17.2,17.1,16.7,18.6
2021-08-03T08:00:00Z,15.1,18.6,19.3,18.4,19.4,17.9,19.8
2021-08-03T09:00:00Z,15.5,20,20.5,18.6,20.2,19,21.3
2021-08-03T10:00:00Z,15.4,21.4,20.9,19.4,20.8,20.4,22
2021-08-03T11:00:00Z,16.4,19.6,21.4,17.4,22.3,20.7,20.2
2021-08-03T12:00:00Z,17.9,20.5,20.8,19.2,22.2,22.2,22.2
2021-08-03T13:00:00Z,17.5,20.4,21.1,19.7,23.3,22.2,23.2
2021-08-03T14:00:00Z,18.7,21.3,21.6,16.3,22.7,21.7,22.9
2021-08-03T15:00:00Z,18.8,19.4,22.1,18.6,22.4,21.6,22.9
2021-08-03T16:00:00Z,18.4,17.9,21.1,18.1,23.2,21.2,22.3
2021-08-03T17:00:00Z,17.8,18.9,20.5,18,22.3,20.6,21.9
2021-08-03T18:00:00Z,17.2,18.3,19.5,16.4,19.6,19.6,21.3
2021-08-03T19:00:00Z,15.5,16.3,18.7,15.1,18.6,18.6,19.6
2021-08-03T20:00:00Z,13.8,13.6,17.4,14.2,17.2,17.3,18.8
2021-08-03T21:00:00Z,12.4,12.2,16.4,13,16.1,15.7,16.5
2021-08-03T22:00:00Z,12,10.1,15.7,12,15.6,15.1,15.5
2021-08-03T23:00:00Z,11.7,9.3,15.3,11.5,14.5,15.8,15.4
2021-08-04T00:00:00Z,12.1,9.1,14.8,10.7,14.1,15.9,14.2
2021-08-04T01:00:00Z,11.6,8.5,14.2,10.2,14.3,15.6,14.6
2021-08-04T02:00:00Z,11,7.9,13.7,9.9,13.5,14.7,14.8
2021-08-04T03:00:00Z,10.5,6.8,13.6,9.9,13.5,14.8,14.3
2021-08-04T04:00:00Z,10.2,6.9,13.7,11.6,14.1,14.7,14.5
2021-08-04T05:00:00Z,12.1,11.3,14.3,11.9,14.6,14.4,14.8
2021-08-04T06:00:00Z,15.1,14.9,15,12.8,15.5,15.2,15.5
2021-08-04T07:00:00Z,17.8,18,16,15,16.6,15.7,15.8
2021-08-04T08:00:00Z,18.7,19.7,18.1,16.7,17.5,15.9,17.1
2021-08-04T09:00:00Z,18.9,20.9,18.3,17.7,18.4,16.9,19.6
2021-08-04T10:00:00Z,19.2,21.6,19.7,20.2,18.5,17.7,20.1
2021-08-04T11:00:00Z,19.5,21.8,20.3,20.2,19.2,18.5,21.3
2021-08-04T12:00:00Z,19.7,22.2,20.9,19.4,19.7,20.1,22.5
2021-08-04T13:00:00Z,19.8,22,19.5,20.9,21.5,21.7,22.3
2021-08-04T14:00:00Z,19.7,21.5,20.4,20.9,20.6,21.6,21.5
2021-08-04T15:00:00Z,19.4,22.6,20.5,20.3,18.5,22.1,21.8
2021-08-04T16:00:00Z,19.2,22.2,20.8,20.9,20,21.2,21.3
2021-08-04T17:00:00Z,18.9,21,20.8,20.2,18.6,20.7,21
2021-08-04T18:00:00Z,18.2,19.1,20.2,20,17.4,20.5,20.6
2021-08-04T19:00:00Z,16.5,16.4,19.1,18.7,16.6,19,19.6
2021-08-04T20:00:00Z,14.3,15.2,17.9,17.5,15.1,17.5,19.5
2021-08-04T21:00:00Z,12.9,12.3,16.5,16.1,15.3,16.1,18.6
2021-08-04T22:00:00Z,12,10.9,16.2,15.1,15,14.9,18.3
2021-08-04T23:00:00Z,11.7,9.7,15.2,13.7,13.7,13.8,15.9
2021-08-05T00:00:00Z,11.7,8.9,14.5,12.6,12.5,13.3,15.3
2021-08-05T01:00:00Z,11.8,8.2,14.2,13.3,11.9,12.7,14.5
2021-08-05T02:00:00Z,11,7.9,13.8,12,11.2,12.5,13.9
2021-08-05T03:00:00Z,10.3,8.1,12.9,10.7,11.3,12.4,13.8
2021-08-05T04:00:00Z,10.8,7.8,13,11.4,11.3,12.4,14.5
2021-08-05T05:00:00Z,13.6,12,13.5,14.3,14,14.3,16.1
