"","date","temp_105","temp_210","temp_230","temp_235","temp_250","temp_300","temp_330"
"1",2021-12-05 01:00:00,0.6,0.7,-1,-0.8,-1.5,-0.6,-1.1
"2",2021-12-05 02:00:00,0.5,0.5,-0.9,-0.9,-1.6,-0.6,-1
"3",2021-12-05 03:00:00,-0.1,0.4,-0.9,-1.2,-1.8,-0.7,-0.9
"4",2021-12-05 04:00:00,-0.3,0.2,-1,-1.5,-1.9,-0.7,-0.5
"5",2021-12-05 05:00:00,0.1,0.2,-1,-1.8,-1.4,-0.8,-0.8
"6",2021-12-05 06:00:00,-0.3,0.1,-0.8,-2.2,-0.9,-0.7,-1
"7",2021-12-05 07:00:00,-0.5,0,-0.8,-2.3,-0.5,-0.7,-0.9
"8",2021-12-05 08:00:00,0.2,0,-0.6,-2,-0.1,-0.7,-0.6
"9",2021-12-05 09:00:00,0.3,0.2,-0.7,-1.8,0.4,-0.6,-0.3
"10",2021-12-05 10:00:00,0.5,0.3,-0.6,-0.8,0.5,-0.5,0.3
"11",2021-12-05 11:00:00,0.9,0.4,-0.3,-0.4,0.8,-0.3,0.4
"12",2021-12-05 12:00:00,1.1,0.5,-0.3,-0.4,0.6,-0.3,0.4
"13",2021-12-05 13:00:00,1.2,0.6,-0.5,-0.5,-0.3,-0.3,0.5
"14",2021-12-05 14:00:00,0.7,0.5,-0.6,-0.6,-0.5,-0.1,0.4
"15",2021-12-05 15:00:00,0.6,0.5,-0.7,-0.8,-0.7,-0.1,0.3
"16",2021-12-05 16:00:00,0.6,0.4,-0.8,-1.1,-0.7,-0.1,0
"17",2021-12-05 17:00:00,0.7,0.2,-0.9,-1.4,-1,0,0
"18",2021-12-05 18:00:00,0.8,-0.1,-0.9,-1.2,-0.7,0.1,0.1
"19",2021-12-05 19:00:00,0.8,-0.4,-0.8,-0.9,-0.6,0.1,-0.2
"20",2021-12-05 20:00:00,0.3,-0.6,-1.3,-0.8,-0.3,0,-0.4
"21",2021-12-05 21:00:00,0.6,-0.5,-1.5,-0.5,-0.1,-0.1,-0.4
"22",2021-12-05 22:00:00,1.3,-0.4,-0.9,-0.5,0.1,-0.3,-0.4
"23",2021-12-05 23:00:00,1.4,0,-0.4,-0.4,0.1,-0.7,-0.5
