...1,...2,date,location,temp
1,1,2021-12-05T01:00:00Z,attic,1.892375
2,2,2021-12-05T02:00:00Z,attic,1.4958
3,3,2021-12-05T03:00:00Z,attic,1.3004875
4,4,2021-12-05T04:00:00Z,attic,1.2008375
5,5,2021-12-05T05:00:00Z,attic,1.06142916666667
6,6,2021-12-05T06:00:00Z,attic,0.987279166666667
7,7,2021-12-05T07:00:00Z,attic,0.994058333333333
8,8,2021-12-05T08:00:00Z,attic,1.17899166666667
9,9,2021-12-05T09:00:00Z,attic,1.395625
10,10,2021-12-05T10:00:00Z,attic,1.6701625
11,11,2021-12-05T11:00:00Z,attic,1.94145833333333
12,12,2021-12-05T12:00:00Z,attic,2.25161666666667
13,13,2021-12-05T13:00:00Z,attic,2.28799166666667
14,14,2021-12-05T14:00:00Z,attic,2.19333333333333
15,15,2021-12-05T15:00:00Z,attic,2.17545
16,16,2021-12-05T16:00:00Z,attic,2.19903333333333
17,17,2021-12-05T17:00:00Z,attic,2.39
18,18,2021-12-05T18:00:00Z,attic,2.33723333333333
19,19,2021-12-05T19:00:00Z,attic,2.34845416666667
20,20,2021-12-05T20:00:00Z,attic,2.32199166666667
21,21,2021-12-05T21:00:00Z,attic,2.23762916666667
22,22,2021-12-05T22:00:00Z,attic,2.22155
23,23,2021-12-05T23:00:00Z,attic,2.24922916666667
24,24,2021-12-06T00:00:00Z,attic,2.27906779661017
25,25,2021-12-06T01:00:00Z,attic,2.298025
26,26,2021-12-06T02:00:00Z,attic,2.2880125
27,27,2021-12-06T03:00:00Z,attic,2.287675
28,28,2021-12-06T04:00:00Z,attic,2.2754125
29,29,2021-12-06T05:00:00Z,attic,2.2832875
30,30,2021-12-06T06:00:00Z,attic,2.2974625
31,31,2021-12-06T07:00:00Z,attic,2.2995875
32,32,2021-12-06T08:00:00Z,attic,2.28025
33,33,2021-12-06T09:00:00Z,attic,2.2776625
34,34,2021-12-06T10:00:00Z,attic,2.26
35,35,2021-12-06T11:00:00Z,attic,2.2673125
36,36,2021-12-06T12:00:00Z,attic,2.24383333333333
37,37,2021-12-06T13:00:00Z,attic,2.188275
38,38,2021-12-06T14:00:00Z,attic,2.293125
39,39,2021-12-06T15:00:00Z,attic,2.73695
40,40,2021-12-06T16:00:00Z,attic,2.72875
41,41,2021-12-06T17:00:00Z,attic,2.69309583333333
42,42,2021-12-06T18:00:00Z,attic,2.60225416666667
43,43,2021-12-06T19:00:00Z,attic,2.417325
44,44,2021-12-06T20:00:00Z,attic,2.19058333333333
45,45,2021-12-06T21:00:00Z,attic,1.96007916666667
46,46,2021-12-06T22:00:00Z,attic,1.7513125
47,47,2021-12-06T23:00:00Z,attic,1.461225
48,48,2021-12-07T00:00:00Z,attic,1.14272881355932
49,49,2021-12-07T01:00:00Z,attic,0.838491666666667
50,50,2021-12-07T02:00:00Z,attic,0.518720833333333
51,51,2021-12-07T03:00:00Z,attic,0.1766
52,52,2021-12-07T04:00:00Z,attic,-0.089975
53,53,2021-12-07T05:00:00Z,attic,-0.344858333333333
54,54,2021-12-07T06:00:00Z,attic,-0.551520833333333
55,55,2021-12-07T07:00:00Z,attic,-0.705591666666667
56,56,2021-12-07T08:00:00Z,attic,-0.807779166666667
57,57,2021-12-07T09:00:00Z,attic,-0.563841666666667
58,58,2021-12-07T10:00:00Z,attic,-0.094625
59,59,2021-12-07T11:00:00Z,attic,0.4644625
60,60,2021-12-07T12:00:00Z,attic,0.862983333333333
61,61,2021-12-07T13:00:00Z,attic,0.932575
62,62,2021-12-07T14:00:00Z,attic,0.801695833333333
63,63,2021-12-07T15:00:00Z,attic,0.297083333333333
64,64,2021-12-07T16:00:00Z,attic,-0.586445833333333
65,65,2021-12-07T17:00:00Z,attic,-1.29405833333333
66,66,2021-12-07T18:00:00Z,attic,-1.27892083333333
67,67,2021-12-07T19:00:00Z,attic,-1.212375
68,68,2021-12-07T20:00:00Z,attic,-1.22662916666667
69,69,2021-12-07T21:00:00Z,attic,-1.20945833333333
70,70,2021-12-07T22:00:00Z,attic,-1.24170416666667
71,71,2021-12-07T23:00:00Z,attic,-1.5131375
72,72,2021-12-08T00:00:00Z,attic,-1.66404661016949
73,73,2021-12-08T01:00:00Z,attic,-1.6874875
